"courses","rooms","weeks","days","slots","x"
25,6,1,1,7,0
25,6,1,1,8,0
25,6,1,1,9,0
25,6,1,2,1,0
25,6,1,2,2,0
25,6,1,2,3,0
25,6,1,2,4,0
25,6,1,2,5,0
25,6,1,2,6,0
25,6,1,2,7,0
25,6,1,2,8,0
25,6,1,2,9,0
25,6,1,3,1,0
25,6,1,3,2,0
25,6,1,3,3,0
25,6,1,3,4,0
25,6,1,3,5,0
25,6,1,3,6,0
25,6,1,3,7,0
25,6,1,3,8,0
25,6,1,3,9,0
25,6,1,4,1,0
25,6,1,4,2,0
25,6,1,4,3,0
25,6,1,4,4,0
25,6,1,4,5,0
25,6,1,4,6,0
25,6,1,4,7,0
25,6,1,4,8,0
25,6,1,4,9,0
25,6,1,5,1,0
25,6,1,5,2,0
25,6,1,5,3,0
25,6,1,5,4,0
25,6,1,5,5,0
25,6,1,5,6,0
25,6,1,5,7,0
25,6,1,5,8,0
25,6,1,5,9,0
25,6,2,1,1,0
25,6,2,1,2,0
25,6,2,1,3,0
25,6,2,1,4,0
25,6,2,1,5,0
25,6,2,1,6,0
25,6,2,1,7,0
25,6,2,1,8,0
25,6,2,1,9,0
25,6,2,2,1,0
25,6,2,2,2,0
25,6,2,2,3,0
25,6,2,2,4,0
25,6,2,2,5,0
25,6,2,2,6,0
25,6,2,2,7,0
25,6,2,2,8,0
25,6,2,2,9,0
25,6,2,3,1,0
25,6,2,3,2,0
25,6,2,3,3,0
25,6,2,3,4,0
25,6,2,3,5,0
25,6,2,3,6,0
25,6,2,3,7,0
25,6,2,3,8,0
25,6,2,3,9,0
25,6,2,4,1,0
25,6,2,4,2,0
25,6,2,4,3,0
25,6,2,4,4,0
25,6,2,4,5,0
25,6,2,4,6,0
25,6,2,4,7,0
25,6,2,4,8,0
25,6,2,4,9,0
25,6,2,5,1,0
25,6,2,5,2,0
25,6,2,5,3,0
25,6,2,5,4,0
25,6,2,5,5,0
25,6,2,5,6,0
25,6,2,5,7,0
25,6,2,5,8,0
25,6,2,5,9,0
25,7,1,1,1,0
25,7,1,1,2,0
25,7,1,1,3,0
25,7,1,1,4,0
25,7,1,1,5,0
25,7,1,1,6,0
25,7,1,1,7,0
25,7,1,1,8,0
25,7,1,1,9,0
25,7,1,2,1,0
25,7,1,2,2,0
25,7,1,2,3,0
25,7,1,2,4,0
25,7,1,2,5,0
25,7,1,2,6,0
25,7,1,2,7,0
25,7,1,2,8,0
25,7,1,2,9,0
25,7,1,3,1,0
25,7,1,3,2,0
25,7,1,3,3,0
25,7,1,3,4,0
25,7,1,3,5,0
25,7,1,3,6,0
25,7,1,3,7,0
25,7,1,3,8,0
25,7,1,3,9,0
25,7,1,4,1,0
25,7,1,4,2,0
25,7,1,4,3,0
25,7,1,4,4,0
25,7,1,4,5,0
25,7,1,4,6,0
25,7,1,4,7,0
25,7,1,4,8,0
25,7,1,4,9,0
25,7,1,5,1,0
25,7,1,5,2,0
25,7,1,5,3,0
25,7,1,5,4,0
25,7,1,5,5,0
25,7,1,5,6,0
25,7,1,5,7,0
25,7,1,5,8,0
25,7,1,5,9,0
25,7,2,1,1,0
25,7,2,1,2,0
25,7,2,1,3,0
25,7,2,1,4,0
25,7,2,1,5,0
25,7,2,1,6,0
25,7,2,1,7,0
25,7,2,1,8,0
25,7,2,1,9,0
25,7,2,2,1,0
25,7,2,2,2,0
25,7,2,2,3,0
25,7,2,2,4,0
25,7,2,2,5,0
25,7,2,2,6,0
25,7,2,2,7,0
25,7,2,2,8,0
25,7,2,2,9,0
25,7,2,3,1,0
25,7,2,3,2,0
25,7,2,3,3,0
25,7,2,3,4,0
25,7,2,3,5,0
25,7,2,3,6,0
25,7,2,3,7,0
25,7,2,3,8,0
25,7,2,3,9,0
25,7,2,4,1,0
25,7,2,4,2,0
25,7,2,4,3,0
25,7,2,4,4,0
25,7,2,4,5,0
25,7,2,4,6,0
25,7,2,4,7,0
25,7,2,4,8,0
25,7,2,4,9,0
25,7,2,5,1,0
25,7,2,5,2,0
25,7,2,5,3,0
25,7,2,5,4,0
25,7,2,5,5,0
25,7,2,5,6,0
25,7,2,5,7,0
25,7,2,5,8,0
25,7,2,5,9,0
25,8,1,1,1,0
25,8,1,1,2,0
25,8,1,1,3,0
25,8,1,1,4,0
25,8,1,1,5,0
25,8,1,1,6,0
25,8,1,1,7,0
25,8,1,1,8,0
25,8,1,1,9,0
25,8,1,2,1,0
25,8,1,2,2,0
25,8,1,2,3,0
25,8,1,2,4,0
25,8,1,2,5,0
25,8,1,2,6,0
25,8,1,2,7,0
25,8,1,2,8,0
25,8,1,2,9,0
25,8,1,3,1,0
25,8,1,3,2,0
25,8,1,3,3,0
25,8,1,3,4,0
25,8,1,3,5,0
25,8,1,3,6,0
25,8,1,3,7,0
25,8,1,3,8,0
25,8,1,3,9,0
25,8,1,4,1,0
25,8,1,4,2,0
25,8,1,4,3,0
25,8,1,4,4,0
25,8,1,4,5,0
25,8,1,4,6,0
25,8,1,4,7,0
25,8,1,4,8,0
25,8,1,4,9,0
25,8,1,5,1,0
25,8,1,5,2,0
25,8,1,5,3,0
25,8,1,5,4,0
25,8,1,5,5,0
25,8,1,5,6,0
25,8,1,5,7,0
25,8,1,5,8,0
25,8,1,5,9,0
25,8,2,1,1,0
25,8,2,1,2,0
25,8,2,1,3,0
25,8,2,1,4,0
25,8,2,1,5,0
25,8,2,1,6,0
25,8,2,1,7,0
25,8,2,1,8,0
25,8,2,1,9,0
25,8,2,2,1,0
25,8,2,2,2,0
25,8,2,2,3,0
25,8,2,2,4,0
25,8,2,2,5,0
25,8,2,2,6,0
25,8,2,2,7,0
25,8,2,2,8,0
25,8,2,2,9,0
25,8,2,3,1,0
25,8,2,3,2,0
25,8,2,3,3,0
25,8,2,3,4,0
25,8,2,3,5,0
25,8,2,3,6,0
25,8,2,3,7,0
25,8,2,3,8,0
25,8,2,3,9,0
25,8,2,4,1,0
25,8,2,4,2,0
25,8,2,4,3,0
25,8,2,4,4,0
25,8,2,4,5,0
25,8,2,4,6,0
25,8,2,4,7,0
25,8,2,4,8,0
25,8,2,4,9,0
25,8,2,5,1,0
25,8,2,5,2,0
25,8,2,5,3,0
25,8,2,5,4,0
25,8,2,5,5,0
25,8,2,5,6,0
25,8,2,5,7,0
25,8,2,5,8,0
25,8,2,5,9,0
25,9,1,1,1,0
25,9,1,1,2,0
25,9,1,1,3,0
25,9,1,1,4,0
25,9,1,1,5,0
25,9,1,1,6,0
25,9,1,1,7,0
25,9,1,1,8,0
25,9,1,1,9,0
25,9,1,2,1,0
25,9,1,2,2,0
25,9,1,2,3,0
25,9,1,2,4,0
25,9,1,2,5,0
25,9,1,2,6,0
25,9,1,2,7,0
25,9,1,2,8,0
25,9,1,2,9,0
25,9,1,3,1,0
25,9,1,3,2,0
25,9,1,3,3,0
25,9,1,3,4,0
25,9,1,3,5,0
25,9,1,3,6,0
25,9,1,3,7,0
25,9,1,3,8,0
25,9,1,3,9,0
25,9,1,4,1,0
25,9,1,4,2,0
25,9,1,4,3,0
25,9,1,4,4,0
25,9,1,4,5,0
25,9,1,4,6,0
25,9,1,4,7,0
25,9,1,4,8,0
25,9,1,4,9,0
25,9,1,5,1,0
25,9,1,5,2,0
25,9,1,5,3,0
25,9,1,5,4,0
25,9,1,5,5,0
25,9,1,5,6,0
25,9,1,5,7,0
25,9,1,5,8,0
25,9,1,5,9,0
25,9,2,1,1,0
25,9,2,1,2,0
25,9,2,1,3,0
25,9,2,1,4,0
25,9,2,1,5,0
25,9,2,1,6,0
25,9,2,1,7,0
25,9,2,1,8,0
25,9,2,1,9,0
25,9,2,2,1,0
25,9,2,2,2,0
25,9,2,2,3,0
25,9,2,2,4,0
25,9,2,2,5,0
25,9,2,2,6,0
25,9,2,2,7,0
25,9,2,2,8,0
25,9,2,2,9,0
25,9,2,3,1,0
25,9,2,3,2,0
25,9,2,3,3,0
25,9,2,3,4,0
25,9,2,3,5,0
25,9,2,3,6,0
25,9,2,3,7,0
25,9,2,3,8,0
25,9,2,3,9,0
25,9,2,4,1,0
25,9,2,4,2,0
25,9,2,4,3,0
25,9,2,4,4,0
25,9,2,4,5,0
25,9,2,4,6,0
25,9,2,4,7,0
25,9,2,4,8,0
25,9,2,4,9,0
25,9,2,5,1,0
25,9,2,5,2,0
25,9,2,5,3,0
25,9,2,5,4,0
25,9,2,5,5,0
25,9,2,5,6,0
25,9,2,5,7,0
25,9,2,5,8,0
25,9,2,5,9,0
25,10,1,1,1,0
25,10,1,1,2,0
25,10,1,1,3,0
25,10,1,1,4,0
25,10,1,1,5,0
25,10,1,1,6,0
25,10,1,1,7,0
25,10,1,1,8,0
25,10,1,1,9,0
25,10,1,2,1,0
25,10,1,2,2,0
25,10,1,2,3,0
25,10,1,2,4,0
25,10,1,2,5,0
25,10,1,2,6,0
25,10,1,2,7,0
25,10,1,2,8,0
25,10,1,2,9,0
25,10,1,3,1,0
25,10,1,3,2,0
25,10,1,3,3,0
25,10,1,3,4,0
25,10,1,3,5,0
25,10,1,3,6,0
25,10,1,3,7,0
25,10,1,3,8,0
25,10,1,3,9,0
25,10,1,4,1,0
25,10,1,4,2,0
25,10,1,4,3,0
25,10,1,4,4,0
25,10,1,4,5,0
25,10,1,4,6,0
25,10,1,4,7,0
25,10,1,4,8,0
25,10,1,4,9,0
25,10,1,5,1,0
25,10,1,5,2,0
25,10,1,5,3,0
25,10,1,5,4,0
25,10,1,5,5,0
25,10,1,5,6,0
25,10,1,5,7,0
25,10,1,5,8,0
25,10,1,5,9,0
25,10,2,1,1,0
25,10,2,1,2,0
25,10,2,1,3,0
25,10,2,1,4,0
25,10,2,1,5,0
25,10,2,1,6,0
25,10,2,1,7,0
25,10,2,1,8,0
25,10,2,1,9,0
25,10,2,2,1,0
25,10,2,2,2,0
25,10,2,2,3,0
25,10,2,2,4,0
25,10,2,2,5,0
25,10,2,2,6,0
25,10,2,2,7,0
25,10,2,2,8,0
25,10,2,2,9,0
25,10,2,3,1,0
25,10,2,3,2,0
25,10,2,3,3,0
25,10,2,3,4,0
25,10,2,3,5,0
25,10,2,3,6,0
25,10,2,3,7,0
25,10,2,3,8,0
25,10,2,3,9,0
25,10,2,4,1,0
25,10,2,4,2,0
25,10,2,4,3,0
25,10,2,4,4,0
25,10,2,4,5,0
25,10,2,4,6,0
25,10,2,4,7,0
25,10,2,4,8,0
25,10,2,4,9,0
25,10,2,5,1,0
25,10,2,5,2,0
25,10,2,5,3,0
25,10,2,5,4,0
25,10,2,5,5,0
25,10,2,5,6,0
25,10,2,5,7,0
25,10,2,5,8,0
25,10,2,5,9,0
25,11,1,1,1,0
25,11,1,1,2,0
25,11,1,1,3,0
25,11,1,1,4,0
25,11,1,1,5,0
25,11,1,1,6,0
25,11,1,1,7,0
25,11,1,1,8,0
25,11,1,1,9,0
25,11,1,2,1,0
25,11,1,2,2,0
25,11,1,2,3,0
25,11,1,2,4,0
25,11,1,2,5,0
25,11,1,2,6,0
25,11,1,2,7,0
25,11,1,2,8,0
25,11,1,2,9,0
25,11,1,3,1,0
25,11,1,3,2,0
25,11,1,3,3,0
25,11,1,3,4,0
25,11,1,3,5,0
25,11,1,3,6,0
25,11,1,3,7,0
25,11,1,3,8,0
25,11,1,3,9,0
25,11,1,4,1,0
25,11,1,4,2,0
25,11,1,4,3,0
25,11,1,4,4,0
25,11,1,4,5,0
25,11,1,4,6,0
25,11,1,4,7,0
25,11,1,4,8,0
25,11,1,4,9,0
25,11,1,5,1,0
25,11,1,5,2,0
25,11,1,5,3,0
25,11,1,5,4,0
25,11,1,5,5,0
25,11,1,5,6,0
25,11,1,5,7,0
25,11,1,5,8,0
25,11,1,5,9,0
25,11,2,1,1,0
25,11,2,1,2,0
25,11,2,1,3,0
25,11,2,1,4,0
25,11,2,1,5,0
25,11,2,1,6,0
25,11,2,1,7,0
25,11,2,1,8,0
25,11,2,1,9,0
25,11,2,2,1,0
25,11,2,2,2,0
25,11,2,2,3,0
25,11,2,2,4,0
25,11,2,2,5,0
25,11,2,2,6,0
25,11,2,2,7,0
25,11,2,2,8,0
25,11,2,2,9,0
25,11,2,3,1,0
25,11,2,3,2,0
25,11,2,3,3,0
25,11,2,3,4,0
25,11,2,3,5,0
25,11,2,3,6,0
25,11,2,3,7,0
25,11,2,3,8,0
25,11,2,3,9,0
25,11,2,4,1,0
25,11,2,4,2,0
25,11,2,4,3,0
25,11,2,4,4,0
25,11,2,4,5,0
25,11,2,4,6,0
25,11,2,4,7,0
25,11,2,4,8,0
25,11,2,4,9,0
25,11,2,5,1,0
25,11,2,5,2,0
25,11,2,5,3,0
25,11,2,5,4,0
25,11,2,5,5,0
25,11,2,5,6,0
25,11,2,5,7,0
25,11,2,5,8,0
25,11,2,5,9,0
25,12,1,1,1,0
25,12,1,1,2,0
25,12,1,1,3,0
25,12,1,1,4,0
25,12,1,1,5,0
25,12,1,1,6,0
25,12,1,1,7,0
25,12,1,1,8,0
25,12,1,1,9,0
25,12,1,2,1,0
25,12,1,2,2,0
25,12,1,2,3,0
25,12,1,2,4,0
25,12,1,2,5,0
25,12,1,2,6,0
25,12,1,2,7,0
25,12,1,2,8,0
25,12,1,2,9,0
25,12,1,3,1,0
25,12,1,3,2,0
25,12,1,3,3,0
25,12,1,3,4,0
25,12,1,3,5,0
25,12,1,3,6,0
25,12,1,3,7,0
25,12,1,3,8,0
25,12,1,3,9,0
25,12,1,4,1,0
25,12,1,4,2,0
25,12,1,4,3,0
25,12,1,4,4,0
25,12,1,4,5,0
25,12,1,4,6,0
25,12,1,4,7,0
25,12,1,4,8,0
25,12,1,4,9,0
25,12,1,5,1,0
25,12,1,5,2,0
25,12,1,5,3,0
25,12,1,5,4,0
25,12,1,5,5,0
25,12,1,5,6,0
25,12,1,5,7,0
25,12,1,5,8,0
25,12,1,5,9,0
25,12,2,1,1,0
25,12,2,1,2,0
25,12,2,1,3,0
25,12,2,1,4,0
25,12,2,1,5,0
25,12,2,1,6,0
25,12,2,1,7,0
25,12,2,1,8,0
25,12,2,1,9,0
25,12,2,2,1,0
25,12,2,2,2,0
25,12,2,2,3,0
25,12,2,2,4,0
25,12,2,2,5,0
25,12,2,2,6,0
25,12,2,2,7,0
25,12,2,2,8,0
25,12,2,2,9,0
25,12,2,3,1,0
25,12,2,3,2,0
25,12,2,3,3,0
25,12,2,3,4,0
25,12,2,3,5,0
25,12,2,3,6,0
25,12,2,3,7,0
25,12,2,3,8,0
25,12,2,3,9,0
25,12,2,4,1,0
25,12,2,4,2,0
25,12,2,4,3,0
25,12,2,4,4,0
25,12,2,4,5,0
25,12,2,4,6,0
25,12,2,4,7,0
25,12,2,4,8,0
25,12,2,4,9,0
25,12,2,5,1,0
25,12,2,5,2,0
25,12,2,5,3,0
25,12,2,5,4,0
25,12,2,5,5,0
25,12,2,5,6,0
25,12,2,5,7,0
25,12,2,5,8,0
25,12,2,5,9,0
26,1,1,1,1,0
26,1,1,1,2,0
26,1,1,1,3,0
26,1,1,1,4,0
26,1,1,1,5,0
26,1,1,1,6,0
26,1,1,1,7,0
26,1,1,1,8,0
26,1,1,1,9,0
26,1,1,2,1,0
26,1,1,2,2,0
26,1,1,2,3,0
26,1,1,2,4,0
26,1,1,2,5,0
26,1,1,2,6,0
26,1,1,2,7,0
26,1,1,2,8,0
26,1,1,2,9,0
26,1,1,3,1,0
26,1,1,3,2,0
26,1,1,3,3,0
26,1,1,3,4,0
26,1,1,3,5,0
26,1,1,3,6,0
26,1,1,3,7,0
26,1,1,3,8,0
26,1,1,3,9,0
26,1,1,4,1,0
26,1,1,4,2,0
26,1,1,4,3,0
26,1,1,4,4,0
26,1,1,4,5,0
26,1,1,4,6,0
26,1,1,4,7,0
26,1,1,4,8,0
26,1,1,4,9,0
26,1,1,5,1,0
26,1,1,5,2,0
26,1,1,5,3,0
26,1,1,5,4,0
26,1,1,5,5,0
26,1,1,5,6,0
26,1,1,5,7,0
26,1,1,5,8,0
26,1,1,5,9,0
26,1,2,1,1,0
26,1,2,1,2,0
26,1,2,1,3,0
26,1,2,1,4,0
26,1,2,1,5,0
26,1,2,1,6,0
26,1,2,1,7,0
26,1,2,1,8,0
26,1,2,1,9,0
26,1,2,2,1,0
26,1,2,2,2,0
26,1,2,2,3,0
26,1,2,2,4,0
26,1,2,2,5,0
26,1,2,2,6,0
26,1,2,2,7,0
26,1,2,2,8,0
26,1,2,2,9,0
26,1,2,3,1,0
26,1,2,3,2,0
26,1,2,3,3,0
26,1,2,3,4,0
26,1,2,3,5,0
26,1,2,3,6,0
26,1,2,3,7,0
26,1,2,3,8,0
26,1,2,3,9,0
26,1,2,4,1,0
26,1,2,4,2,0
26,1,2,4,3,0
26,1,2,4,4,0
26,1,2,4,5,0
26,1,2,4,6,0
26,1,2,4,7,0
26,1,2,4,8,0
26,1,2,4,9,0
26,1,2,5,1,0
26,1,2,5,2,0
26,1,2,5,3,0
26,1,2,5,4,0
26,1,2,5,5,0
26,1,2,5,6,0
26,1,2,5,7,0
26,1,2,5,8,0
26,1,2,5,9,0
26,2,1,1,1,0
26,2,1,1,2,0
26,2,1,1,3,0
26,2,1,1,4,0
26,2,1,1,5,0
26,2,1,1,6,0
26,2,1,1,7,0
26,2,1,1,8,0
26,2,1,1,9,0
26,2,1,2,1,0
26,2,1,2,2,0
26,2,1,2,3,0
26,2,1,2,4,0
26,2,1,2,5,0
26,2,1,2,6,0
26,2,1,2,7,0
26,2,1,2,8,0
26,2,1,2,9,0
26,2,1,3,1,0
26,2,1,3,2,0
26,2,1,3,3,0
26,2,1,3,4,0
26,2,1,3,5,0
26,2,1,3,6,0
26,2,1,3,7,0
26,2,1,3,8,0
26,2,1,3,9,0
26,2,1,4,1,0
26,2,1,4,2,0
26,2,1,4,3,0
26,2,1,4,4,0
26,2,1,4,5,0
26,2,1,4,6,0
26,2,1,4,7,0
26,2,1,4,8,0
26,2,1,4,9,0
26,2,1,5,1,0
26,2,1,5,2,0
26,2,1,5,3,0
26,2,1,5,4,0
26,2,1,5,5,0
26,2,1,5,6,0
26,2,1,5,7,0
26,2,1,5,8,0
26,2,1,5,9,0
26,2,2,1,1,0
26,2,2,1,2,0
26,2,2,1,3,0
26,2,2,1,4,0
26,2,2,1,5,0
26,2,2,1,6,0
26,2,2,1,7,0
26,2,2,1,8,0
26,2,2,1,9,0
26,2,2,2,1,0
26,2,2,2,2,0
26,2,2,2,3,0
26,2,2,2,4,0
26,2,2,2,5,0
26,2,2,2,6,0
26,2,2,2,7,0
26,2,2,2,8,0
26,2,2,2,9,0
26,2,2,3,1,0
26,2,2,3,2,0
26,2,2,3,3,0
26,2,2,3,4,0
26,2,2,3,5,0
26,2,2,3,6,0
26,2,2,3,7,0
26,2,2,3,8,0
26,2,2,3,9,0
26,2,2,4,1,0
26,2,2,4,2,0
26,2,2,4,3,0
26,2,2,4,4,0
26,2,2,4,5,0
26,2,2,4,6,0
26,2,2,4,7,0
26,2,2,4,8,0
26,2,2,4,9,0
26,2,2,5,1,0
26,2,2,5,2,0
26,2,2,5,3,0
26,2,2,5,4,0
26,2,2,5,5,0
26,2,2,5,6,0
26,2,2,5,7,0
26,2,2,5,8,0
26,2,2,5,9,0
26,3,1,1,1,0
26,3,1,1,2,0
26,3,1,1,3,0
26,3,1,1,4,0
26,3,1,1,5,0
26,3,1,1,6,0
26,3,1,1,7,0
26,3,1,1,8,0
26,3,1,1,9,0
26,3,1,2,1,0
26,3,1,2,2,0
26,3,1,2,3,0
26,3,1,2,4,0
26,3,1,2,5,0
26,3,1,2,6,0
26,3,1,2,7,0
26,3,1,2,8,0
26,3,1,2,9,0
26,3,1,3,1,0
26,3,1,3,2,0
26,3,1,3,3,0
26,3,1,3,4,0
26,3,1,3,5,0
26,3,1,3,6,0
26,3,1,3,7,0
26,3,1,3,8,0
26,3,1,3,9,0
26,3,1,4,1,0
26,3,1,4,2,0
26,3,1,4,3,0
26,3,1,4,4,0
26,3,1,4,5,0
26,3,1,4,6,0
26,3,1,4,7,0
26,3,1,4,8,0
26,3,1,4,9,0
26,3,1,5,1,0
26,3,1,5,2,0
26,3,1,5,3,0
26,3,1,5,4,0
26,3,1,5,5,0
26,3,1,5,6,0
26,3,1,5,7,0
26,3,1,5,8,0
26,3,1,5,9,0
26,3,2,1,1,0
26,3,2,1,2,0
26,3,2,1,3,0
26,3,2,1,4,0
26,3,2,1,5,0
26,3,2,1,6,0
26,3,2,1,7,0
26,3,2,1,8,0
26,3,2,1,9,0
26,3,2,2,1,0
26,3,2,2,2,0
26,3,2,2,3,0
26,3,2,2,4,0
26,3,2,2,5,0
26,3,2,2,6,0
26,3,2,2,7,0
26,3,2,2,8,0
26,3,2,2,9,0
26,3,2,3,1,0
26,3,2,3,2,0
26,3,2,3,3,0
26,3,2,3,4,0
26,3,2,3,5,0
26,3,2,3,6,0
26,3,2,3,7,0
26,3,2,3,8,0
26,3,2,3,9,0
26,3,2,4,1,0
26,3,2,4,2,0
26,3,2,4,3,0
26,3,2,4,4,0
26,3,2,4,5,0
26,3,2,4,6,0
26,3,2,4,7,0
26,3,2,4,8,0
26,3,2,4,9,0
26,3,2,5,1,0
26,3,2,5,2,0
26,3,2,5,3,0
26,3,2,5,4,0
26,3,2,5,5,0
26,3,2,5,6,0
26,3,2,5,7,0
26,3,2,5,8,0
26,3,2,5,9,0
26,4,1,1,1,0
26,4,1,1,2,0
26,4,1,1,3,0
26,4,1,1,4,0
26,4,1,1,5,0
26,4,1,1,6,0
26,4,1,1,7,0
26,4,1,1,8,0
26,4,1,1,9,0
26,4,1,2,1,0
26,4,1,2,2,0
26,4,1,2,3,0
26,4,1,2,4,0
26,4,1,2,5,0
26,4,1,2,6,0
26,4,1,2,7,0
26,4,1,2,8,0
26,4,1,2,9,0
26,4,1,3,1,0
26,4,1,3,2,0
26,4,1,3,3,0
26,4,1,3,4,0
26,4,1,3,5,0
26,4,1,3,6,0
26,4,1,3,7,0
26,4,1,3,8,0
26,4,1,3,9,0
26,4,1,4,1,0
26,4,1,4,2,0
26,4,1,4,3,0
26,4,1,4,4,0
26,4,1,4,5,0
26,4,1,4,6,0
26,4,1,4,7,0
26,4,1,4,8,0
26,4,1,4,9,0
26,4,1,5,1,0
26,4,1,5,2,0
26,4,1,5,3,0
26,4,1,5,4,0
26,4,1,5,5,0
26,4,1,5,6,0
26,4,1,5,7,0
26,4,1,5,8,0
26,4,1,5,9,0
26,4,2,1,1,0
26,4,2,1,2,0
26,4,2,1,3,0
26,4,2,1,4,0
26,4,2,1,5,0
26,4,2,1,6,0
26,4,2,1,7,0
26,4,2,1,8,0
26,4,2,1,9,0
26,4,2,2,1,0
26,4,2,2,2,0
26,4,2,2,3,0
26,4,2,2,4,0
26,4,2,2,5,0
26,4,2,2,6,0
26,4,2,2,7,0
26,4,2,2,8,0
26,4,2,2,9,0
26,4,2,3,1,0
26,4,2,3,2,0
26,4,2,3,3,0
26,4,2,3,4,0
26,4,2,3,5,0
26,4,2,3,6,0
26,4,2,3,7,0
26,4,2,3,8,0
26,4,2,3,9,0
26,4,2,4,1,0
26,4,2,4,2,0
26,4,2,4,3,0
26,4,2,4,4,0
26,4,2,4,5,0
26,4,2,4,6,0
26,4,2,4,7,0
26,4,2,4,8,0
26,4,2,4,9,0
26,4,2,5,1,0
26,4,2,5,2,0
26,4,2,5,3,0
26,4,2,5,4,0
26,4,2,5,5,0
26,4,2,5,6,0
26,4,2,5,7,0
26,4,2,5,8,0
26,4,2,5,9,0
26,5,1,1,1,0
26,5,1,1,2,0
26,5,1,1,3,0
26,5,1,1,4,0
26,5,1,1,5,0
26,5,1,1,6,0
26,5,1,1,7,0
26,5,1,1,8,0
26,5,1,1,9,0
26,5,1,2,1,0
26,5,1,2,2,0
26,5,1,2,3,0
26,5,1,2,4,0
26,5,1,2,5,0
26,5,1,2,6,0
26,5,1,2,7,0
26,5,1,2,8,0
26,5,1,2,9,0
26,5,1,3,1,0
26,5,1,3,2,0
26,5,1,3,3,0
26,5,1,3,4,0
26,5,1,3,5,0
26,5,1,3,6,0
26,5,1,3,7,0
26,5,1,3,8,0
26,5,1,3,9,0
26,5,1,4,1,0
26,5,1,4,2,0
26,5,1,4,3,0
26,5,1,4,4,0
26,5,1,4,5,0
26,5,1,4,6,0
26,5,1,4,7,0
26,5,1,4,8,0
26,5,1,4,9,0
26,5,1,5,1,0
26,5,1,5,2,0
26,5,1,5,3,0
26,5,1,5,4,0
26,5,1,5,5,0
26,5,1,5,6,0
26,5,1,5,7,0
26,5,1,5,8,0
26,5,1,5,9,0
26,5,2,1,1,0
26,5,2,1,2,0
26,5,2,1,3,0
26,5,2,1,4,0
26,5,2,1,5,0
26,5,2,1,6,0
26,5,2,1,7,0
26,5,2,1,8,0
26,5,2,1,9,0
26,5,2,2,1,0
26,5,2,2,2,0
26,5,2,2,3,0
26,5,2,2,4,0
26,5,2,2,5,0
26,5,2,2,6,0
26,5,2,2,7,0
26,5,2,2,8,0
26,5,2,2,9,0
26,5,2,3,1,0
26,5,2,3,2,0
26,5,2,3,3,0
26,5,2,3,4,0
26,5,2,3,5,0
26,5,2,3,6,0
26,5,2,3,7,0
26,5,2,3,8,0
26,5,2,3,9,0
26,5,2,4,1,0
26,5,2,4,2,0
26,5,2,4,3,0
26,5,2,4,4,0
26,5,2,4,5,0
26,5,2,4,6,0
26,5,2,4,7,0
26,5,2,4,8,0
26,5,2,4,9,0
26,5,2,5,1,0
26,5,2,5,2,0
26,5,2,5,3,0
26,5,2,5,4,0
26,5,2,5,5,0
26,5,2,5,6,0
26,5,2,5,7,0
26,5,2,5,8,0
26,5,2,5,9,0
26,6,1,1,1,0
26,6,1,1,2,0
26,6,1,1,3,0
26,6,1,1,4,0
26,6,1,1,5,0
26,6,1,1,6,0
26,6,1,1,7,0
26,6,1,1,8,0
26,6,1,1,9,0
26,6,1,2,1,0
26,6,1,2,2,0
26,6,1,2,3,0
26,6,1,2,4,0
26,6,1,2,5,0
26,6,1,2,6,0
26,6,1,2,7,0
26,6,1,2,8,0
26,6,1,2,9,0
26,6,1,3,1,0
26,6,1,3,2,0
26,6,1,3,3,0
26,6,1,3,4,0
26,6,1,3,5,0
26,6,1,3,6,0
26,6,1,3,7,0
26,6,1,3,8,0
26,6,1,3,9,0
26,6,1,4,1,0
26,6,1,4,2,0
26,6,1,4,3,0
26,6,1,4,4,0
26,6,1,4,5,0
26,6,1,4,6,0
26,6,1,4,7,0
26,6,1,4,8,0
26,6,1,4,9,0
26,6,1,5,1,0
26,6,1,5,2,0
26,6,1,5,3,0
26,6,1,5,4,0
26,6,1,5,5,0
26,6,1,5,6,0
26,6,1,5,7,0
26,6,1,5,8,0
26,6,1,5,9,0
26,6,2,1,1,0
26,6,2,1,2,0
26,6,2,1,3,0
26,6,2,1,4,0
26,6,2,1,5,0
26,6,2,1,6,0
26,6,2,1,7,0
26,6,2,1,8,0
26,6,2,1,9,0
26,6,2,2,1,0
26,6,2,2,2,0
26,6,2,2,3,0
26,6,2,2,4,0
26,6,2,2,5,0
26,6,2,2,6,0
26,6,2,2,7,0
26,6,2,2,8,0
26,6,2,2,9,0
26,6,2,3,1,0
26,6,2,3,2,0
26,6,2,3,3,0
26,6,2,3,4,0
26,6,2,3,5,0
26,6,2,3,6,0
26,6,2,3,7,0
26,6,2,3,8,0
26,6,2,3,9,0
26,6,2,4,1,0
26,6,2,4,2,0
26,6,2,4,3,0
26,6,2,4,4,0
26,6,2,4,5,0
26,6,2,4,6,0
26,6,2,4,7,0
26,6,2,4,8,0
26,6,2,4,9,0
26,6,2,5,1,0
26,6,2,5,2,0
26,6,2,5,3,0
26,6,2,5,4,0
26,6,2,5,5,0
26,6,2,5,6,0
26,6,2,5,7,0
26,6,2,5,8,0
26,6,2,5,9,0
26,7,1,1,1,0
